年分,1~4,5~9,10~14,15~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84
1970,3.02,0.71,0.62,1.26,1.82,2.02,2.54,3.2,4.13,6.52,10.36,15.02,28.11,44.12,69.18,105.41,188.76
1971,2.78,0.72,0.57,1.08,1.71,2.07,2.39,3.13,4.09,5.96,9.94,15.4,26.74,42.13,67.05,103.34,152.6
1972,2.14,0.68,0.59,1.15,1.68,2.01,2.48,3.21,4.32,6.19,9.67,15.5,24.04,40.7,65.11,98,152.86
1973,2.01,0.67,0.66,1.14,1.62,1.95,2.44,3.39,4.52,6.01,9.64,15.64,23.28,40.78,64.08,100.72,145.38
1974,2.06,0.73,0.65,1.22,1.66,1.89,2.26,3.05,4.19,5.95,9.46,14.87,21.83,39.05,62.46,100.75,153.43
1975,1.86,0.61,0.59,1.3,1.71,1.89,2.22,3.17,4.35,6.01,8.92,15.06,18.61,37.86,60.23,97.89,155.38
1976,1.73,0.57,0.54,1.32,1.67,1.68,2.24,3.09,4.32,6.11,8.83,14.03,20.71,34.38,61.39,98.1,159.06
1977,1.54,0.63,0.58,1.3,1.76,1.87,2.18,3.03,4.53,6.26,9.02,14.22,22.87,29.32,61.59,98.13,157.44
1978,1.57,0.61,0.53,1.46,1.71,1.82,2.08,3.01,4.46,6.11,8.95,14.05,21.96,28.31,57.73,90.62,145.32
1979,1.45,0.59,0.51,1.52,1.78,1.79,2.1,2.87,4.22,6.14,8.83,13.68,21.67,24.79,55.64,84.17,133.14
1980,1.44,0.57,0.48,1.44,1.71,1.69,2.06,3.04,4.24,6.22,8.68,13.08,21.53,34.04,52.81,83.49,127.65
1981,1.45,0.58,0.57,1.33,1.71,1.83,2.13,2.92,4.29,6.27,8.68,13.2,21.15,34.11,52.85,79.04,127.26
1982,1.24,0.54,0.48,1.24,1.61,1.73,2.04,2.92,4.29,6.19,8.85,12.71,20.15,32.74,51.16,78.87,118.32
1983,1.2,0.52,0.5,1.31,1.53,1.76,1.99,2.76,4.05,6.24,8.46,12.71,20.52,33.21,51.52,83.47,125.39
1984,1.11,0.5,0.44,1.16,1.49,1.66,2.01,2.86,4.2,6.16,8.45,12.22,19.49,30.56,49.52,78.92,113.47
1985,1.07,0.5,0.48,1.14,1.51,1.62,1.89,2.65,3.95,5.73,8.28,11.7,18.77,30.54,49.36,78,117.24
1986,1.02,0.51,0.43,1.31,1.57,1.64,1.9,2.57,3.9,5.73,8.1,11.88,18.3,30.05,48.69,79.33,118.69
1987,0.92,0.49,0.49,1.61,1.59,1.65,1.86,2.61,3.94,5.68,8.19,11.56,18.05,29,47.39,74.68,117.38
1988,0.94,0.47,0.47,1.65,1.65,1.8,2,2.78,3.96,5.81,8.56,11.87,17.78,28.66,47.5,91.26,120.37
1989,0.88,0.45,0.47,1.62,1.59,1.84,2.15,2.7,4.08,5.97,8.4,11.91,17.2,28.97,45.53,74.04,112.18
1990,0.86,0.42,0.46,1.4,1.5,1.76,2.05,2.82,3.88,5.71,8.3,12.26,17.7,27.66,45.62,71.99,112.37
1991,0.84,0.39,0.41,1.3,1.55,1.75,2.05,2.72,3.75,5.62,8.2,11.72,17.29,26.15,42.9,70.01,110.18
1992,0.76,0.35,0.4,1.31,1.44,1.71,2.07,2.68,3.77,5.5,7.97,11.96,17.79,26.35,42.96,68.72,108.34
1993,0.7,0.36,0.44,1.42,1.48,1.75,2.07,2.72,3.87,5.58,7.93,11.72,17.45,25.85,40.67,67.76,99.83
1994,0.7,0.34,0.39,1.41,1.41,1.61,2.13,2.78,3.96,5.61,7.97,12.08,17.38,26.11,39.83,64.89,101.21
1995,0.62,0.34,0.41,1.26,1.55,1.66,2,2.84,3.77,5.62,8.15,11.78,18.07,25.88,40.91,66.35,103.1
1996,0.61,0.3,0.35,1.23,1.36,1.56,2.13,2.73,3.89,5.5,8.24,12.17,17.95,25.3,39.89,64.46,102.14
1997,0.627518084,0.26114813,0.291884928,1.115266151,1.168872945,1.574461097,2.061743033,2.842068835,3.919153976,5.280801593,8.329711203,11.44035781,17.22755512,24.98663852,38.40444162,59.94388758,97.30331899
1998,0.663855452,0.254082455,0.33090745,1.044241214,1.232764464,1.436620231,1.96457614,2.812091791,3.953968921,5.228587884,7.699083138,11.44266102,16.89449702,24.8531862,37.04258399,60.29159965,97.87948357
1999,0.636878777,0.306260243,0.347413665,0.985046109,1.115257451,1.395896693,1.920771536,2.739878093,3.842476067,5.274557961,7.667572531,11.13130719,16.92855716,24.72018225,36.74178759,59.15109182,95.51206937
2000,0.490751465,0.227151193,0.246799136,0.92124572,1.121425948,1.300778709,1.849405273,2.616216914,3.805132283,5.302509591,7.342880423,10.95681102,16.24043561,24.15745864,35.89811719,56.95784726,90.57657559
2001,0.53,0.23,0.25,0.8,1.01,1.22,1.76,2.62,3.68,5.09,7.32,10.95,16.01,24.59,35.87,55.68,89.47
2002,0.46,0.18,0.2,0.72,0.95,1.28,1.69,2.5,3.54,5.03,7.03,10.42,15.53,23.42,35,54.36,86.76
2003,0.45,0.24,0.2,0.66,0.92,1.2,1.76,2.5,3.6,5,7.07,10.04,15.28,23.21,34.63,53.53,83.84
2004,0.39,0.17,0.18,0.76,0.91,1.21,1.77,2.58,3.66,5.13,7.08,10.24,15.03,22.59,35.17,53.97,84.39
2005,0.44,0.19,0.21,0.69,0.94,1.4,1.88,2.69,3.85,5.26,7.06,10.19,15.51,22.53,34.73,54.36,84.63
